$MV,AIM,1,160,120,137,53,-23,-67,0.805,12.245,AIMING#
$MV,AIM,1,160,120,138,51,-22,-69,0.521,12.169,AIMING#
$MV,AIM,1,160,120,140,49,-20,-71,0.482,14.824,AIMING#
$MV,AIM,1,160,120,138,52,-22,-68,0.773,17.573,AIMING#
$MV,AIM,1,160,120,137,52,-23,-68,0.765,19.087,AIMING#
$MV,AIM,1,160,120,137,51,-23,-69,0.716,20.376,AIMING#
$MV,AIM,1,160,120,137,51,-23,-69,0.775,21.341,AIMING#
$MV,AIM,1,160,120,137,51,-23,-69,0.785,22.12,AIMING#
$MV,AIM,1,160,120,137,50,-23,-70,0.772,22.797,AIMING#
$MV,AIM,1,160,120,137,51,-23,-69,0.775,23.279,AIMING#
$MV,AIM,1,160,120,137,52,-23,-68,0.812,23.832,AIMING#
$MV,AIM,1,160,120,138,54,-22,-66,0.844,24.251,AIMING#
$MV,AIM,1,160,120,138,52,-22,-68,0.789,24.609,AIMING#
$MV,AIM,1,160,120,138,51,-22,-69,0.761,24.92,AIMING#
$MV,AIM,1,160,120,138,51,-22,-69,0.771,25.185,AIMING#
$MV,AIM,1,160,120,137,53,-23,-67,0.81,25.461,AIMING#
$MV,AIM,1,160,120,137,54,-23,-66,0.752,25.688,AIMING#
$MV,AIM,1,160,120,137,54,-23,-66,0.758,25.894,AIMING#
$MV,AIM,1,160,120,137,54,-23,-66,0.752,26.136,AIMING#
$MV,AIM,1,160,120,137,54,-23,-66,0.758,26.309,AIMING#
$MV,AIM,1,160,120,137,54,-23,-66,0.796,27.994,AIMING#
$MV,AIM,1,160,120,138,54,-22,-66,0.803,30.106,AIMING#
$MV,AIM,1,160,120,143,56,-17,-64,0.805,30.307,AIMING#
$MV,AIM,1,160,120,147,57,-13,-63,0.789,29.943,AIMING#
$MV,AIM,1,160,120,149,58,-11,-62,0.792,29.993,AIMING#
$MV,AIM,1,160,120,150,58,-10,-62,0.785,29.947,AIMING#
$MV,AIM,1,160,120,150,59,-10,-61,0.775,29.962,AIMING#
$MV,AIM,1,160,120,151,59,-9,-61,0.739,29.973,AIMING#
$MV,AIM,1,160,120,151,58,-9,-62,0.789,29.947,AIMING#
$MV,AIM,1,160,120,151,59,-9,-61,0.745,29.983,AIMING#
$MV,AIM,1,160,120,151,59,-9,-61,0.806,29.957,AIMING#
$MV,AIM,1,160,120,154,60,-6,-60,0.772,29.95,AIMING#
$MV,AIM,1,160,120,160,62,0,-58,0.703,29.92,AIMING#
$MV,AIM,1,160,120,168,63,8,-57,0.765,29.904,AIMING#
$MV,AIM,1,160,120,174,64,14,-56,0.751,29.87,AIMING#
$MV,AIM,1,160,120,180,64,20,-56,0.696,29.903,AIMING#
$MV,AIM,1,160,120,188,61,28,-59,0.765,29.783,AIMING#
$MV,AIM,1,160,120,203,53,43,-67,0.765,29.837,AIMING#
$MV,AIM,1,160,120,219,44,59,-76,0.772,29.77,AIMING#
$MV,AIM,1,160,120,230,37,70,-83,0.745,29.734,AIMING#
$MV,AIM,1,160,120,73,61,-87,-59,0.771,29.702,AIMING#
$MV,AIM,1,160,120,245,32,85,-88,0.732,29.839,AIMING#
$MV,AIM,1,160,120,245,34,85,-86,0.753,29.756,AIMING#
$MV,AIM,1,160,120,243,38,83,-82,0.786,29.752,AIMING#
$MV,AIM,1,160,120,242,39,82,-81,0.788,29.765,AIMING#
$MV,AIM,1,160,120,241,39,81,-81,0.802,29.779,AIMING#
$MV,AIM,1,160,120,239,39,79,-81,0.788,29.742,AIMING#
$MV,AIM,1,160,120,236,40,76,-80,0.755,29.741,AIMING#
$MV,AIM,1,160,120,235,41,75,-79,0.8,29.759,AIMING#
$MV,AIM,1,160,120,233,45,73,-75,0.781,29.779,AIMING#
$MV,AIM,1,160,120,231,51,71,-69,0.755,29.727,AIMING#
$MV,AIM,1,160,120,229,55,69,-65,0.751,29.745,AIMING#
$MV,AIM,1,160,120,230,58,70,-62,0.812,29.783,AIMING#
$MV,AIM,1,160,120,232,58,72,-62,0.81,29.833,AIMING#
$MV,AIM,1,160,120,232,57,72,-63,0.735,29.86,AIMING#
$MV,AIM,1,160,120,232,57,72,-63,0.762,29.307,AIMING#
$MV,AIM,1,160,120,235,53,75,-67,0.775,29.192,AIMING#
$MV,AIM,1,160,120,235,50,75,-70,0.752,29.161,AIMING#
$MV,AIM,1,160,120,232,48,72,-72,0.782,29.169,AIMING#
$MV,AIM,1,160,120,228,46,68,-74,0.774,29.18,AIMING#
$MV,AIM,1,160,120,226,45,66,-75,0.763,29.326,AIMING#
$MV,AIM,1,160,120,226,45,66,-75,0.806,29.051,AIMING#
$MV,AIM,1,160,120,228,45,68,-75,0.811,29.154,AIMING#
$MV,AIM,1,160,120,230,46,70,-74,0.774,29.249,AIMING#
$MV,AIM,1,160,120,229,47,69,-73,0.787,29.233,AIMING#
$MV,AIM,1,160,120,228,48,68,-72,0.776,29.125,AIMING#
$MV,AIM,1,160,120,227,49,67,-71,0.768,29.251,AIMING#
$MV,AIM,1,160,120,225,50,65,-70,0.801,29.135,AIMING#
$MV,AIM,1,160,120,223,52,63,-68,0.75,29.15,AIMING#
$MV,AIM,1,160,120,222,53,62,-67,0.767,29.252,AIMING#
$MV,AIM,1,160,120,221,53,61,-67,0.789,29.273,AIMING#
$MV,AIM,1,160,120,218,53,58,-67,0.751,29.166,AIMING#
$MV,AIM,1,160,120,213,52,53,-68,0.801,29.146,AIMING#
$MV,AIM,1,160,120,207,50,47,-70,0.768,29.056,AIMING#
$MV,AIM,1,160,120,204,44,44,-76,0.751,29.064,AIMING#
$MV,AIM,1,160,120,207,34,47,-86,0.801,29.558,AIMING#
$MV,AIM,1,160,120,205,24,45,-96,0.761,29.792,AIMING#
$MV,AIM,1,160,120,204,16,44,-104,0.787,29.772,AIMING#
$MV,AIM,1,160,120,210,6,50,-114,0.773,29.763,AIMING#
$MV,AIM,1,160,120,215,2,55,-118,0.635,29.869,AIMING#
$MV,AIM,1,160,120,215,1,55,-119,0.694,29.807,AIMING#
$MV,AIM,1,160,120,215,1,55,-119,0.758,29.95,AIMING#
$MV,AIM,1,160,120,90,62,-70,-58,0.469,29.927,AIMING#
